Category,Question,SQL,Result,Condition,Table Used,Element
Departments,List all departments.,"SELECT
  dep_id,
  dep_name
FROM Departments;","[
  {
  ""dep_id"": ""D01"",
  ""dep_name"": ""Computing Fundamental""
  },
  {
  ""dep_id"": ""D02"",
  ""dep_name"": ""Artificial Intelligence""
  },
  {
  ""dep_id"": ""D03"",
  ""dep_name"": ""Information Assurance""
  },
  {
  ""dep_id"": ""D04"",
  ""dep_name"": ""Software Engineering""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}",['Departments'],"['FROM', 'SELECT']"
Departments,Find the department named 'Computing Fundamental'.,"SELECT
  *
FROM Departments
WHERE
  dep_name = 'Computing Fundamental';","[
  {
  ""dep_id"": ""D01"",
  ""dep_name"": ""Computing Fundamental""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}",['Departments'],"['FROM', 'SELECT', 'WHERE']"
Departments,How many departments are there?,"SELECT
  COUNT(*)
FROM Departments;","[
  {
  """": ""4""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}",['Departments'],"['FROM', 'SELECT']"
Majors,List all the majors offered.,"SELECT
  major_id,
  major_name
FROM Majors;","[
  {
  ""major_id"": ""AI"",
  ""major_name"": ""Artificial Intelligence""
  },
  {
  ""major_id"": ""IA"",
  ""major_name"": ""Information Assurance""
  },
  {
  ""major_id"": ""IS"",
  ""major_name"": ""Information System""
  },
  {
  ""major_id"": ""SE"",
  ""major_name"": ""Software Engineering""
  }
 ]","{""role"": ""Student"", ""identity"": []}",['Majors'],"['FROM', 'SELECT']"
Majors,Which major starts with the letter 'I'?,"SELECT
  major_id,
  major_name
FROM Majors
WHERE
  major_name LIKE 'I%';","[
  {
  ""major_id"": ""IA"",
  ""major_name"": ""Information Assurance""
  },
  {
  ""major_id"": ""IS"",
  ""major_name"": ""Information System""
  }
 ]","{""role"": ""Student"", ""identity"": []}",['Majors'],"['FROM', 'SELECT', 'WHERE']"
Curriculums,List all of the academic programs.,"SELECT
  major_id,
  course_id
FROM Curriculums;","[
  {
  ""major_id"": ""AI"",
  ""course_id"": ""AIL""
  },
  {
  ""major_id"": ""AI"",
  ""course_id"": ""CEA""
  },
  {
  ""major_id"": ""AI"",
  ""course_id"": ""CPV""
  },
  {
  ""major_id"": ""AI"",
  ""course_id"": ""CSI""
  },
  {
  ""major_id"": ""AI"",
  ""course_id"": ""MAE""
  },
  {
  ""major_id"": ""AI"",
  ""course_id"": ""NLP""
  },
  {
  ""major_id"": ""IA"",
  ""course_id"": ""CEA""
  },
  {
  ""major_id"": ""IA"",
  ""course_id"": ""CSI""
  },
  {
  ""major_id"": ""IA"",
  ""course_id"": ""IAA""
  },
  {
  ""major_id"": ""IA"",
  ""course_id"": ""IAM""
  },
  {
  ""major_id"": ""IA"",
  ""course_id"": ""IAP""
  },
  {
  ""major_id"": ""IA"",
  ""course_id"": ""MAE""
  },
  {
  ""major_id"": ""IS"",
  ""course_id"": ""CEA""
  },
  {
  ""major_id"": ""IS"",
  ""course_id"": ""CSI""
  },
  {
  ""major_id"": ""IS"",
  ""course_id"": ""ISM""
  },
  {
  ""major_id"": ""IS"",
  ""course_id"": ""ISP""
  },
  {
  ""major_id"": ""IS"",
  ""course_id"": ""ITA""
  },
  {
  ""major_id"": ""IS"",
  ""course_id"": ""MAE""
  },
  {
  ""major_id"": ""SE"",
  ""course_id"": ""CEA""
  },
  {
  ""major_id"": ""SE"",
  ""course_id"": ""CSI""
  },
  {
  ""major_id"": ""SE"",
  ""course_id"": ""MAE""
  },
  {
  ""major_id"": ""SE"",
  ""course_id"": ""SWD""
  },
  {
  ""major_id"": ""SE"",
  ""course_id"": ""SWP""
  },
  {
  ""major_id"": ""SE"",
  ""course_id"": ""SWR""
  }
 ]","{""role"": ""Student"", ""identity"": []}",['Curriculums'],"['FROM', 'SELECT']"
Roles and Permissions,What are the permissions for the 'Student' role?,"SELECT P.permission_name
FROM Roles AS R
JOIN RolePermission AS RP ON R.role_id = RP.role_id
JOIN Permissions AS P ON RP.permission_id = P.permission_id
WHERE R.role_name = 'Student';",[],"{""role"": ""Training Manager"", ""identity"": []}","['Permissions', 'RolePermission', 'Roles']","['AS', 'FROM', 'JOIN', 'ON', 'ROLES', 'SELECT', 'WHERE']"
Roles and Permissions,Which users have permission to 'EditCourse'?,"SELECT U.username, U.fullname
FROM Users AS U
JOIN UserRole AS UR ON U.user_id = UR.user_id
JOIN Roles AS R ON UR.role_id = R.role_id
JOIN RolePermission AS RP ON R.role_id = RP.role_id
JOIN Permissions AS P ON RP.permission_id = P.permission_id
WHERE P.permission_name = 'EditCourse';",[],"{""role"": ""Training Manager"", ""identity"": []}","['Permissions', 'RolePermission', 'Roles', 'UserRole', 'Users']","['AS', 'FROM', 'JOIN', 'ON', 'ROLES', 'SELECT', 'WHERE']"
Roles and Permissions,Which roles have the most permissions?,"SELECT TOP 1 WITH TIES R.role_name
FROM Roles AS R
JOIN RolePermission AS RP ON R.role_id = RP.role_id
GROUP BY R.role_name
ORDER BY COUNT(RP.permission_id) DESC;",[],"{""role"": ""Training Manager"", ""identity"": []}","['RolePermission', 'Roles']","['AS', 'DESC', 'FROM', 'GROUP BY', 'JOIN', 'ON', 'ORDER BY', 'ROLES', 'SELECT', 'WITH']"
Enrollments & Grades,Which course have I enrolled in?,"SELECT
  C.course_name
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  E.student_id = 'HE001';","[
  {
  ""course_name"": ""Machine Learning""
  },
  {
  ""course_name"": ""Mathematics for Engineering""
  },
  {
  ""course_name"": ""Natural Language Processing""
  }
 ]","{""role"": ""Student"", ""identity"": [""HE001""]}","['ClassCourse', 'Courses', 'Enrollments']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Enrollments & Grades,How many courses am I enrolled in?,"SELECT
  COUNT(DISTINCT CC.course_id)
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
WHERE
  E.student_id = 'HE001';","[
  {
  """": ""3""
  }
 ]","{""role"": ""Student"", ""identity"": [""HE001""]}","['ClassCourse', 'Enrollments']","['AS', 'DISTINCT', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Enrollments & Grades,"Provide information about my academic status in the Machine Learning course, which is being studied in the AI01 class.","SELECT
  E.average AS AverageGrade,
  E.status AS EnrollmentStatus
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  E.student_id = 'HE001' AND C.course_name = 'Machine Learning' AND CC.class_id = 'AI01';","[
  {
  ""AverageGrade"": ""0.0"",
  ""EnrollmentStatus"": ""Studying""
  }
 ]","{""role"": ""Student"", ""identity"": [""HE001""]}","['ClassCourse', 'Courses', 'Enrollments']","['AND', 'AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Enrollments & Grades,How many students are enrolled in class AI01 this semester?,"SELECT
  COUNT(DISTINCT T1.student_id) AS number_of_students
FROM Enrollments AS T1
INNER JOIN ClassCourse AS T2
  ON T1.class_course_id = T2.class_course_id
WHERE
  T2.class_id = 'AI01' AND T2.semester = 'SP25';","[
  {
  ""number_of_students"": ""5""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Enrollments']","['AND', 'AS', 'DISTINCT', 'FROM', 'INNER JOIN', 'ON', 'SELECT', 'WHERE']"
Enrollments & Grades,Show every student and the corresponding courses and classes they have enrolled in.,"SELECT
  U.fullname,
  C.course_name,
    CC.class_id
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
JOIN Students AS S
  ON E.student_id = S.student_id
JOIN Users AS U
  ON S.student_id = U.user_id;","[
  {
  ""fullname"": ""Student A"",
  ""course_name"": ""Machine Learning"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student A"",
  ""course_name"": ""Mathematics for Engineering"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student A"",
  ""course_name"": ""Natural Language Processing"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student B"",
  ""course_name"": ""Machine Learning"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student B"",
  ""course_name"": ""Mathematics for Engineering"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student B"",
  ""course_name"": ""Natural Language Processing"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student C"",
  ""course_name"": ""Machine Learning"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student C"",
  ""course_name"": ""Mathematics for Engineering"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student C"",
  ""course_name"": ""Natural Language Processing"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student D"",
  ""course_name"": ""Machine Learning"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student D"",
  ""course_name"": ""Mathematics for Engineering"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student D"",
  ""course_name"": ""Natural Language Processing"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student E"",
  ""course_name"": ""Machine Learning"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student E"",
  ""course_name"": ""Mathematics for Engineering"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student E"",
  ""course_name"": ""Natural Language Processing"",
  ""class_id"": ""AI01""
  },
  {
  ""fullname"": ""Student K"",
  ""course_name"": ""Malware Analysis and Reverse Engineering"",
  ""class_id"": ""IA01""
  },
  {
  ""fullname"": ""Student K"",
  ""course_name"": ""Mathematics for Engineering"",
  ""class_id"": ""IA01""
  },
  {
  ""fullname"": ""Student L"",
  ""course_name"": ""Malware Analysis and Reverse Engineering"",
  ""class_id"": ""IA01""
  },
  {
  ""fullname"": ""Student L"",
  ""course_name"": ""Mathematics for Engineering"",
  ""class_id"": ""IA01""
  },
  {
  ""fullname"": ""Student M"",
  ""course_name"": ""Malware Analysis and Reverse Engineering"",
  ""class_id"": ""IA01""
  },
  {
  ""fullname"": ""Student M"",
  ""course_name"": ""Mathematics for Engineering"",
  ""class_id"": ""IA01""
  },
  {
  ""fullname"": ""Student N"",
  ""course_name"": ""Malware Analysis and Reverse Engineering"",
  ""class_id"": ""IA01""
  },
  {
  ""fullname"": ""Student N"",
  ""course_name"": ""Mathematics for Engineering"",
  ""class_id"": ""IA01""
  },
  {
  ""fullname"": ""Student O"",
  ""course_name"": ""Malware Analysis and Reverse Engineering"",
  ""class_id"": ""IA01""
  },
  {
  ""fullname"": ""Student O"",
  ""course_name"": ""Mathematics for Engineering"",
  ""class_id"": ""IA01""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Courses', 'Enrollments', 'Students', 'Users']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT']"
Enrollments & Grades,Which course has the highest historical average grade?,"SELECT C.course_name, AVG(E.average) AS AverageGrade
FROM Enrollments AS E
JOIN ClassCourse AS CC ON E.class_course_id = CC.class_course_id
JOIN Courses AS C ON CC.course_id = C.course_id
WHERE E.status <> 'Studying'  
GROUP BY C.course_name
HAVING AVG(E.average) = (
    SELECT MAX(AvgGrade)
    FROM (
        SELECT AVG(E2.average) AS AvgGrade
        FROM Enrollments AS E2
        JOIN ClassCourse AS CC2 ON E2.class_course_id = CC2.class_course_id
        JOIN Courses AS C2 ON CC2.course_id = C2.course_id
        WHERE E2.status <> 'Studying'  
        GROUP BY C2.course_name
    ) AS Subquery
);","[
  {
  ""course_name"": ""Mathematics for Engineering"",
  ""AverageGrade"": ""7.684""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Courses', 'Enrollments']","['AS', 'FROM', 'GROUP BY', 'HAVING', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Enrollments & Grades,"Which class and course has the highest average student score, considering only students who have completed the course?","SELECT TOP 1 WITH TIES
    CC.class_id,
    C.course_name,
    AVG(E.average) AS AverageScore
FROM
    Enrollments AS E
JOIN
    ClassCourse AS CC ON E.class_course_id = CC.class_course_id
JOIN
    Courses AS C ON CC.course_id = C.course_id
WHERE
    E.status <> 'Studying' 
GROUP BY
    CC.class_id, C.course_name
ORDER BY
    AverageScore DESC;","[
  {
  ""class_id"": ""AI01"",
  ""course_name"": ""Mathematics for Engineering"",
  ""AverageScore"": ""7.787999999999999""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Courses', 'Enrollments']","['AS', 'DESC', 'FROM', 'GROUP BY', 'JOIN', 'ON', 'ORDER BY', 'SELECT', 'WHERE', 'WITH']"
Enrollments & Grades,Which student has enrolled in the most courses?,"SELECT E.student_id, COUNT(DISTINCT E.class_course_id) AS NumberOfCourses
FROM Enrollments AS E
GROUP BY E.student_id
HAVING COUNT(DISTINCT E.class_course_id) = (
    SELECT MAX(CourseCount)
    FROM (
        SELECT COUNT(DISTINCT class_course_id) AS CourseCount
        FROM Enrollments
        GROUP BY student_id
    ) AS Subquery
);","[
  {
  ""student_id"": ""HE001"",
  ""NumberOfCourses"": ""3""
  },
  {
  ""student_id"": ""HE002"",
  ""NumberOfCourses"": ""3""
  },
  {
  ""student_id"": ""HE003"",
  ""NumberOfCourses"": ""3""
  },
  {
  ""student_id"": ""HE004"",
  ""NumberOfCourses"": ""3""
  },
  {
  ""student_id"": ""HE005"",
  ""NumberOfCourses"": ""3""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}",['Enrollments'],"['AS', 'DISTINCT', 'FROM', 'GROUP BY', 'HAVING', 'SELECT']"
Enrollments & Grades,What is the lowest average grade of students in any subject?,"SELECT U.fullname, E.average
FROM Enrollments AS E
JOIN Students AS S ON E.student_id = S.student_id
JOIN Users AS U ON S.student_id = U.user_id
WHERE E.average = (
    SELECT MIN(average)
    FROM Enrollments
    WHERE status <> 'Studying'
) AND E.status <> 'Studying';","[
  {
  ""fullname"": ""Student B"",
  ""average"": ""3.96""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Enrollments', 'Students', 'Users']","['AND', 'AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Attendance,"Show the attendance status of students taking the Machine Learning course on January 6, 2025 which include student ID, student name and status","SELECT e.student_id, u.fullname AS student_name, a.status
FROM Attendance a
JOIN Enrollments e ON a.enrollment_id = e.enrollment_id
JOIN Users u ON e.student_id = u.user_id
JOIN Schedules s ON a.schedule_id = s.schedule_id
JOIN ClassCourse cc on cc.class_course_id = s.class_course_id
JOIN Courses C ON CC.course_id = C.course_id
WHERE C.course_name = 'Machine Learning'
AND CAST(s.start_time AS DATE) = '2025-01-06';","[
  {
  ""student_id"": ""HE001"",
  ""student_name"": ""Student A"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE002"",
  ""student_name"": ""Student B"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE003"",
  ""student_name"": ""Student C"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE004"",
  ""student_name"": ""Student D"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE005"",
  ""student_name"": ""Student E"",
  ""status"": ""Present""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Attendance', 'ClassCourse', 'Courses', 'Enrollments', 'Schedules', 'Users']","['AND', 'AS', 'DATE', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Attendance,"Which students have been marked 'Absent' in any class, show their student ID","SELECT DISTINCT
  S.student_id
FROM Students AS S
JOIN Enrollments AS E
  ON S.student_id = E.student_id
JOIN Attendance AS A
  ON E.enrollment_id = A.enrollment_id
WHERE
  A.status = 'Absent';","[
  {
  ""student_id"": ""HE013""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Attendance', 'Enrollments', 'Students']","['AS', 'DISTINCT', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Attendance,"Which students have been marked 'Absent' in this semester, including both student id and student name?","SELECT DISTINCT
    U.fullname
FROM
    Users U
JOIN Students ST ON U.user_id = ST.student_id
JOIN Enrollments E ON ST.student_id = E.student_id
JOIN ClassCourse CC ON E.class_course_id = CC.class_course_id
JOIN Attendance A ON E.enrollment_id = A.enrollment_id
WHERE
    CC.semester = 'SP25' 
    AND A.status = 'Absent';",[],"{""role"": ""Training Manager"", ""identity"": []}","['Attendance', 'ClassCourse', 'Enrollments', 'Students', 'Users']","['AND', 'DISTINCT', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Attendance,Show the attendance status of students in the AI01 class taking the Machine Learning course.,"SELECT	E.student_id,
  U.fullname ,
  S.start_time,
  A.status
FROM Attendance AS A
JOIN Enrollments AS E
  ON A.enrollment_id = E.enrollment_id
JOIN Students AS St
  ON E.student_id = St.student_id
JOIN Users AS U
  ON St.student_id = U.user_id
JOIN Schedules AS S
  ON A.schedule_id = S.schedule_id
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id AND S.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  CC.class_id = 'AI01' AND C.course_name = 'Machine Learning';","[
  {
  ""student_id"": ""HE001"",
  ""fullname"": ""Student A"",
  ""start_time"": ""2025-01-06 07:30:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE001"",
  ""fullname"": ""Student A"",
  ""start_time"": ""2025-01-08 10:00:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE001"",
  ""fullname"": ""Student A"",
  ""start_time"": ""2025-01-13 07:30:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE001"",
  ""fullname"": ""Student A"",
  ""start_time"": ""2025-01-15 10:00:00"",
  ""status"": ""Future""
  },
  {
  ""student_id"": ""HE001"",
  ""fullname"": ""Student A"",
  ""start_time"": ""2025-01-20 07:30:00"",
  ""status"": ""Future""
  },
  {
  ""student_id"": ""HE002"",
  ""fullname"": ""Student B"",
  ""start_time"": ""2025-01-06 07:30:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE002"",
  ""fullname"": ""Student B"",
  ""start_time"": ""2025-01-08 10:00:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE002"",
  ""fullname"": ""Student B"",
  ""start_time"": ""2025-01-13 07:30:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE002"",
  ""fullname"": ""Student B"",
  ""start_time"": ""2025-01-15 10:00:00"",
  ""status"": ""Future""
  },
  {
  ""student_id"": ""HE002"",
  ""fullname"": ""Student B"",
  ""start_time"": ""2025-01-20 07:30:00"",
  ""status"": ""Future""
  },
  {
  ""student_id"": ""HE003"",
  ""fullname"": ""Student C"",
  ""start_time"": ""2025-01-06 07:30:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE003"",
  ""fullname"": ""Student C"",
  ""start_time"": ""2025-01-08 10:00:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE003"",
  ""fullname"": ""Student C"",
  ""start_time"": ""2025-01-13 07:30:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE003"",
  ""fullname"": ""Student C"",
  ""start_time"": ""2025-01-15 10:00:00"",
  ""status"": ""Future""
  },
  {
  ""student_id"": ""HE003"",
  ""fullname"": ""Student C"",
  ""start_time"": ""2025-01-20 07:30:00"",
  ""status"": ""Future""
  },
  {
  ""student_id"": ""HE004"",
  ""fullname"": ""Student D"",
  ""start_time"": ""2025-01-06 07:30:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE004"",
  ""fullname"": ""Student D"",
  ""start_time"": ""2025-01-08 10:00:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE004"",
  ""fullname"": ""Student D"",
  ""start_time"": ""2025-01-13 07:30:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE004"",
  ""fullname"": ""Student D"",
  ""start_time"": ""2025-01-15 10:00:00"",
  ""status"": ""Future""
  },
  {
  ""student_id"": ""HE004"",
  ""fullname"": ""Student D"",
  ""start_time"": ""2025-01-20 07:30:00"",
  ""status"": ""Future""
  },
  {
  ""student_id"": ""HE005"",
  ""fullname"": ""Student E"",
  ""start_time"": ""2025-01-06 07:30:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE005"",
  ""fullname"": ""Student E"",
  ""start_time"": ""2025-01-08 10:00:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE005"",
  ""fullname"": ""Student E"",
  ""start_time"": ""2025-01-13 07:30:00"",
  ""status"": ""Present""
  },
  {
  ""student_id"": ""HE005"",
  ""fullname"": ""Student E"",
  ""start_time"": ""2025-01-15 10:00:00"",
  ""status"": ""Future""
  },
  {
  ""student_id"": ""HE005"",
  ""fullname"": ""Student E"",
  ""start_time"": ""2025-01-20 07:30:00"",
  ""status"": ""Future""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Attendance', 'ClassCourse', 'Courses', 'Enrollments', 'Schedules', 'Students', 'Users']","['AND', 'AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Attendance,Do I have any scheduled classes in the near future?,"SELECT
    S.start_time,
        C.course_name,
        CL.class_id,
        S.room
        
FROM
    Schedules S
JOIN ClassCourse CC ON S.class_course_id = CC.class_course_id
JOIN Courses C ON CC.course_id = C.course_id
JOIN Classes CL ON CC.class_id = CL.class_id
JOIN Enrollments E ON CC.class_course_id = E.class_course_id
JOIN Students ST ON E.student_id = ST.student_id
JOIN Users U ON ST.student_id = U.user_id
WHERE U.user_id = 'HE001' AND S.start_time > GETDATE();",[],"{""role"": ""Student"", ""identity"": [""HE001""]}","['ClassCourse', 'Classes', 'Courses', 'Enrollments', 'Schedules', 'Students', 'Users']","['AND', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Attendance,How many Machine Learning classes have I attended?,"SELECT
    COUNT(cc.class_course_id)
FROM
    ClassCourse CC
JOIN Courses C ON CC.course_id = C.course_id
Join Enrollments E on E.class_course_id = cc.class_course_id
JOIN Students ST ON E.student_id = ST.student_id
JOIN Users U ON ST.student_id = U.user_id
WHERE
    U.user_id = 'HE001'  
    AND C.course_name = 'Machine Learning'  ","[
  {
  """": ""1""
  }
 ]","{""role"": ""Student"", ""identity"": [""HE001""]}","['ClassCourse', 'Courses', 'Enrollments', 'Students', 'Users']","['AND', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Attendance,How many lectures did I attend for each course this semester?,"SELECT
  C.course_name,
  COUNT(A.status) AS AttendedLecturesCount
FROM Attendance AS A
JOIN Enrollments AS E
  ON A.enrollment_id = E.enrollment_id
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  E.student_id = 'HE001' AND CC.semester = 'SP25' AND A.status = 'Present'
GROUP BY
  C.course_name;","[
  {
  ""course_name"": ""Machine Learning"",
  ""AttendedLecturesCount"": ""3""
  },
  {
  ""course_name"": ""Natural Language Processing"",
  ""AttendedLecturesCount"": ""3""
  }
 ]","{""role"": ""Student"", ""identity"": [""HE001""]}","['Attendance', 'ClassCourse', 'Courses', 'Enrollments']","['AND', 'AS', 'FROM', 'GROUP BY', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Attendance,"How many students were marked present in the AI01 class for the Machine Learning course on January 8, 2025?","SELECT
  COUNT(DISTINCT A.enrollment_id)
FROM Attendance AS A
JOIN Schedules AS S
  ON A.schedule_id = S.schedule_id
JOIN ClassCourse AS CC
  ON S.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  CC.class_id = 'AI01'
  AND C.course_name = 'Machine Learning'
  AND A.status = 'Present'
  AND CAST(S.start_time AS DATE) = '2025-01-08';","[
  {
  """": ""5""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Attendance', 'ClassCourse', 'Courses', 'Schedules']","['AND', 'AS', 'DATE', 'DISTINCT', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Course and Class Relationships,Which classes have taken Mathematics for Engineering?,"SELECT T1.class_id
FROM ClassCourse AS T1
INNER JOIN Courses AS T2
  ON T1.course_id = T2.course_id
WHERE
  T2.course_name = 'Mathematics for Engineering';","[
  {
  ""class_id"": ""AI01""
  },
  {
  ""class_id"": ""IA01""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Courses']","['AS', 'FROM', 'INNER JOIN', 'ON', 'SELECT', 'WHERE']"
Course and Class Relationships,Show the class section names and course names for all classes.,"SELECT
  c.class_id,
  co.course_name
FROM Classes AS c
JOIN ClassCourse AS cc
  ON c.class_id = cc.class_id
JOIN Courses AS co
  ON cc.course_id = co.course_id;","[
  {
  ""class_id"": ""AI01"",
  ""course_name"": ""Machine Learning""
  },
  {
  ""class_id"": ""AI01"",
  ""course_name"": ""Mathematics for Engineering""
  },
  {
  ""class_id"": ""AI01"",
  ""course_name"": ""Natural Language Processing""
  },
  {
  ""class_id"": ""IA01"",
  ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
  ""class_id"": ""IA01"",
  ""course_name"": ""Mathematics for Engineering""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Classes', 'Courses']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT']"
Course and Class Relationships,Find the class sections for 'Machine Learning' in the 'SP25' semester.,"SELECT
  cc.class_id
FROM ClassCourse AS cc
JOIN Courses AS c
  ON cc.course_id = c.course_id
WHERE
  c.course_name = 'Machine Learning' AND cc.semester = 'SP25';","[
  {
  ""class_id"": ""AI01""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Courses']","['AND', 'AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Course and Class Relationships,Which subjects have been offered for the AI01 class?,"SELECT
  c.course_name
FROM ClassCourse AS cc
JOIN Courses AS c
  ON cc.course_id = c.course_id
WHERE
  cc.class_id = 'AI01';","[
  {
  ""course_name"": ""Machine Learning""
  },
  {
  ""course_name"": ""Mathematics for Engineering""
  },
  {
  ""course_name"": ""Natural Language Processing""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Courses']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Course and Class Relationships,How many class are there in the FA24 semester?,"SELECT
  COUNT(DISTINCT class_id)
FROM ClassCourse
WHERE
  semester = 'FA24';","[
  {
  """": ""2""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}",['ClassCourse'],"['DISTINCT', 'FROM', 'SELECT', 'WHERE']"
Course and Class Relationships,List the Mathematics for Engineering classes taught by Lecturer Giang.,"SELECT DISTINCT
  T1.class_id
FROM ClassCourse AS T1
INNER JOIN Courses AS T2
  ON T1.course_id = T2.course_id
INNER JOIN Lecturers AS T3
  ON T1.lecturer_id = T3.lecturer_id
INNER JOIN Users AS T4
  ON T3.lecturer_id = T4.user_id
WHERE
  T2.course_name = 'Mathematics for Engineering' AND T4.fullname = 'Giang';","[
  {
  ""class_id"": ""IA01""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Courses', 'Lecturers', 'Users']","['AND', 'AS', 'DISTINCT', 'FROM', 'INNER JOIN', 'ON', 'SELECT', 'WHERE']"
