Question,Condition,GeneratedSQL,ErrorMessage,Result
Which roles have the most permissions?,"{""role"": ""Training Manager"", ""identity"": []}","Error generating SQL: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 28
}
]","Invalid SQL query provided to execute_sql_query: 'Error generating SQL: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 28
}
]'",[]
Which course have I enrolled in?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name
FROM Enrollments AS e
JOIN ClassCourse AS cc ON e.class_course_id = cc.class_course_id
JOIN Courses AS c ON cc.course_id = c.course_id
WHERE e.student_id = 'HE001';",,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  }
]"
How many courses am I enrolled in?,"{""role"": ""Student"", ""identity"": [""HE001""]}",SELECT COUNT(DISTINCT T1.class_course_id) FROM Enrollments AS T1 WHERE T1.student_id = 'HE001',,"[
  {
    """": 3
  }
]"
"Provide information about my academic status in the Machine Learning course, which is being studied in the AI01 class.","{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name, cc.semester, e.average, e.status
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Enrollments e ON cc.class_course_id = e.class_course_id
JOIN Classes cl ON cc.class_id = cl.class_id
WHERE c.course_name = 'Machine Learning' AND cl.class_id = 'AI01' AND e.student_id = 'HE001';",,"[
  {
    ""course_name"": ""Machine Learning"",
    ""semester"": ""SP25"",
    ""average"": 0.0,
    ""status"": ""Studying""
  }
]"
How many students are enrolled in class AI01 this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT COUNT(DISTINCT T1.student_id)
FROM Enrollments AS T1
INNER JOIN ClassCourse AS T2 ON T1.class_course_id = T2.class_course_id
WHERE T2.class_id = 'AI01' AND T2.semester = (SELECT MAX(semester) FROM ClassCourse);",,"[
  {
    """": 5
  }
]"
Show every student and the corresponding courses and classes they have enrolled in.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT st.student_id, st.fullname, c.course_name, cl.class_id
FROM Students st
JOIN Enrollments e ON st.student_id = e.student_id
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN Classes cl ON cc.class_id = cl.class_id;","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW) executing query: SELECT st.student_id, st.fullname, c.course_name, cl.class_id
FROM Students st
JOIN Enrollments e ON st.student_id = e.student_id
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN Classes cl ON cc.class_id = cl.class_id;",[]
Which course has the highest historical average grade?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT TOP 1 c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Enrollments e ON cc.class_course_id = e.class_course_id
GROUP BY c.course_name
ORDER BY AVG(e.average) DESC;",,"[
  {
    ""course_name"": ""Mathematics for Engineering""
  }
]"
"Which class and course has the highest average student score, considering only students who have completed the course?","{""role"": ""Training Manager"", ""identity"": []}","SELECT TOP 1 c.class_id, co.course_id, AVG(e.average) AS average_score
FROM Enrollments e
JOIN ClassCourse co ON e.class_course_id = co.class_course_id
JOIN Classes c ON co.class_id = c.class_id
WHERE e.status = 'Passed'
GROUP BY c.class_id, co.course_id
ORDER BY average_score DESC;",,"[
  {
    ""class_id"": ""AI01"",
    ""course_id"": ""MAE"",
    ""average_score"": 8.745000000000001
  }
]"
Which student has enrolled in the most courses?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT TOP 1 WITH TIES s.student_id
FROM Enrollments e
JOIN Students s ON e.student_id = s.student_id
GROUP BY s.student_id
ORDER BY COUNT(*) DESC;",,"[
  {
    ""student_id"": ""HE001""
  },
  {
    ""student_id"": ""HE002""
  },
  {
    ""student_id"": ""HE003""
  },
  {
    ""student_id"": ""HE004""
  },
  {
    ""student_id"": ""HE005""
  }
]"
What is the lowest average grade of students in any subject?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT MIN(average) AS LowestAverageGrade FROM Enrollments;,,"[
  {
    ""LowestAverageGrade"": 0.0
  }
]"
"Show the attendance status of students taking the Machine Learning course on January 6, 2025 which include student ID, student name and status","{""role"": ""Training Manager"", ""identity"": []}","SELECT s.student_id, u.fullname, a.status
FROM Enrollments e
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN Students s ON e.student_id = s.student_id
JOIN Users u ON s.student_id = u.user_id
JOIN Attendance a ON e.enrollment_id = a.enrollment_id
JOIN Schedules sch ON a.schedule_id = sch.schedule_id
WHERE c.course_name = 'Machine Learning' AND sch.start_time >= '2025-01-06 00:00:00' AND sch.start_time < '2025-01-07 00:00:00';",,"[
  {
    ""student_id"": ""HE001"",
    ""fullname"": ""Student A"",
    ""status"": ""Present""
  },
  {
    ""student_id"": ""HE002"",
    ""fullname"": ""Student B"",
    ""status"": ""Present""
  },
  {
    ""student_id"": ""HE003"",
    ""fullname"": ""Student C"",
    ""status"": ""Present""
  },
  {
    ""student_id"": ""HE004"",
    ""fullname"": ""Student D"",
    ""status"": ""Present""
  },
  {
    ""student_id"": ""HE005"",
    ""fullname"": ""Student E"",
    ""status"": ""Present""
  }
]"
"Which students have been marked 'Absent' in any class, show their student ID","{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT e.student_id
FROM Enrollments e
JOIN Attendance a ON e.enrollment_id = a.enrollment_id
WHERE a.status = 'Absent';",,"[
  {
    ""student_id"": ""HE013""
  }
]"
"Which students have been marked 'Absent' in this semester, including both student id and student name?","{""role"": ""Training Manager"", ""identity"": []}","SELECT s.student_id, u.fullname
FROM Enrollments e
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Students s ON e.student_id = s.student_id
JOIN Users u ON s.student_id = u.user_id
JOIN Attendance a ON e.enrollment_id = a.enrollment_id
WHERE a.status = 'Absent' AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",,[]
Show the attendance status of students in the AI01 class taking the Machine Learning course.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT a.status
FROM Attendance a
JOIN Enrollments e ON a.enrollment_id = e.enrollment_id
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
WHERE cc.class_id = 'AI01' AND c.course_name = 'Machine Learning';",,"[
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Future""
  },
  {
    ""status"": ""Future""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Future""
  },
  {
    ""status"": ""Future""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Future""
  },
  {
    ""status"": ""Future""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Future""
  },
  {
    ""status"": ""Future""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Present""
  },
  {
    ""status"": ""Future""
  },
  {
    ""status"": ""Future""
  }
]"
Do I have any scheduled classes in the near future?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT s.start_time, c.course_name, cl.class_id
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN Classes cl ON cc.class_id = cl.class_id
JOIN Enrollments e ON cc.class_course_id = e.class_course_id
WHERE e.student_id = 'HE001' AND s.start_time >= DATEADD(day, 0, GETDATE())
ORDER BY s.start_time;",,[]
How many Machine Learning classes have I attended?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT COUNT(DISTINCT T1.class_course_id)
FROM Enrollments AS T1
INNER JOIN ClassCourse AS T2 ON T1.class_course_id = T2.class_course_id
INNER JOIN Courses AS T3 ON T2.course_id = T3.course_id
INNER JOIN Attendance AS T4 ON T1.enrollment_id = T4.enrollment_id
WHERE T3.course_name = 'Machine Learning'
  AND T1.student_id = 'HE001'
  AND T4.status = 'Present';",,"[
  {
    """": 1
  }
]"
How many lectures did I attend for each course this semester?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name, COUNT(a.schedule_id) AS lecture_count
FROM Enrollments e
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN Attendance a ON e.enrollment_id = a.enrollment_id
WHERE e.student_id = 'HE001'
AND cc.semester = (SELECT MAX(semester) FROM ClassCourse)
GROUP BY c.course_name;",,"[
  {
    ""course_name"": ""Machine Learning"",
    ""lecture_count"": 5
  },
  {
    ""course_name"": ""Natural Language Processing"",
    ""lecture_count"": 5
  }
]"
"How many students were marked present in the AI01 class for the Machine Learning course on January 8, 2025?","{""role"": ""Training Manager"", ""identity"": []}","SELECT COUNT(DISTINCT a.enrollment_id)
FROM Attendance AS a
JOIN Schedules AS s ON a.schedule_id = s.schedule_id
JOIN ClassCourse AS cc ON s.class_course_id = cc.class_course_id
JOIN Courses AS c ON cc.course_id = c.course_id
JOIN Enrollments AS e ON a.enrollment_id = e.enrollment_id
WHERE cc.class_id = 'AI01'
  AND c.course_name = 'Machine Learning'
  AND s.start_time >= '20250108' AND s.start_time < '20250109'
  AND a.status = 'Present';",,"[
  {
    """": 5
  }
]"
Which classes have taken Mathematics for Engineering?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT c.class_name
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
JOIN Courses co ON cc.course_id = co.course_id
WHERE co.course_name = 'Mathematics for Engineering';","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'class_name'. (207) (SQLExecDirectW) executing query: SELECT DISTINCT c.class_name
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
JOIN Courses co ON cc.course_id = co.course_id
WHERE co.course_name = 'Mathematics for Engineering';",[]
Show the class section names and course names for all classes.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id, cc.class_course_id, co.course_name
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
JOIN Courses co ON cc.course_id = co.course_id;",,"[
  {
    ""class_id"": ""AI01"",
    ""class_course_id"": ""AI01_AIL"",
    ""course_name"": ""Machine Learning""
  },
  {
    ""class_id"": ""AI01"",
    ""class_course_id"": ""AI01_MAE"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""class_id"": ""AI01"",
    ""class_course_id"": ""AI01_NLP"",
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""class_id"": ""IA01"",
    ""class_course_id"": ""IA01_IAM"",
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""class_id"": ""IA01"",
    ""class_course_id"": ""IA01_MAE"",
    ""course_name"": ""Mathematics for Engineering""
  }
]"
Find the class sections for 'Machine Learning' in the 'SP25' semester.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id, cc.course_id, s.schedule_id
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
JOIN Courses co ON cc.course_id = co.course_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE co.course_name = 'Machine Learning' AND cc.semester = 'SP25';",,"[
  {
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL"",
    ""schedule_id"": ""AI01_AIL_1""
  },
  {
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL"",
    ""schedule_id"": ""AI01_AIL_2""
  },
  {
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL"",
    ""schedule_id"": ""AI01_AIL_3""
  },
  {
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL"",
    ""schedule_id"": ""AI01_AIL_4""
  },
  {
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL"",
    ""schedule_id"": ""AI01_AIL_5""
  }
]"
Which subjects have been offered for the AI01 class?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT c.course_name
FROM ClassCourse AS cc
JOIN Courses AS c ON cc.course_id = c.course_id
JOIN Classes AS cl ON cc.class_id = cl.class_id
WHERE cl.class_id = 'AI01';",,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  }
]"
How many class are there in the FA24 semester?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT COUNT(DISTINCT class_id) FROM ClassCourse WHERE semester = 'FA24',,"[
  {
    """": 2
  }
]"
List the Mathematics for Engineering classes taught by Lecturer Giang.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Users u ON l.lecturer_id = u.user_id
WHERE u.fullname = 'Giang' AND c.course_name LIKE '%Mathematics for Engineering%';",,"[
  {
    ""course_name"": ""Mathematics for Engineering""
  }
]"
Show a list of classes along with the subjects and lecturers that have taught in that class.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id, c.class_id AS ClassID, cc.course_id AS Subject, l.lecturer_id AS LecturerID, l.fullname AS LecturerName
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id;","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW) executing query: SELECT c.class_id, c.class_id AS ClassID, cc.course_id AS Subject, l.lecturer_id AS LecturerID, l.fullname AS LecturerName
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id;",[]
Which lecturers teach the Machine Learning course?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT L.fullname
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Courses AS C ON CC.course_id = C.course_id
WHERE C.course_name = 'Machine Learning';","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW) executing query: SELECT DISTINCT L.fullname
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Courses AS C ON CC.course_id = C.course_id
WHERE C.course_name = 'Machine Learning';",[]
The number of lecturers who have taught each subject.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_name, COUNT(DISTINCT l.lecturer_id) AS NumberOfLecturers
FROM ClassCourse cc
JOIN Courses c ON cc.course_id = c.course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
GROUP BY c.course_name;",,"[
  {
    ""course_name"": ""Machine Learning"",
    ""NumberOfLecturers"": 1
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering"",
    ""NumberOfLecturers"": 1
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""NumberOfLecturers"": 2
  },
  {
    ""course_name"": ""Natural Language Processing"",
    ""NumberOfLecturers"": 1
  }
]"
Which courses does Professor Phuong teach?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Users u ON l.lecturer_id = u.user_id
WHERE u.fullname = 'Phuong';",,"[
  {
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  }
]"
Which courses have no assigned lecturer for the SP25 semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_name
FROM Courses c
LEFT JOIN ClassCourse cc ON c.course_id = cc.course_id
WHERE cc.lecturer_id IS NULL AND cc.semester = 'SP25';",,[]
Show the list of lecturers and how many courses they each teach.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT L.fullname, COUNT(DISTINCT CC.class_course_id) AS NumberOfCoursesTaught
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
GROUP BY L.fullname;","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW); [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) executing query: SELECT L.fullname, COUNT(DISTINCT CC.class_course_id) AS NumberOfCoursesTaught
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
GROUP BY L.fullname;",[]
Which lecturers teach both 'Machine Learning' and 'Mathematics for Engineering'?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT L.lecturer_id, L.fullname
FROM Lecturers L
JOIN ClassCourse C1 ON L.lecturer_id = C1.lecturer_id
JOIN Courses CO1 ON C1.course_id = CO1.course_id
JOIN ClassCourse C2 ON L.lecturer_id = C2.lecturer_id
JOIN Courses CO2 ON C2.course_id = CO2.course_id
WHERE CO1.course_name = 'Machine Learning' AND CO2.course_name = 'Mathematics for Engineering'
GROUP BY L.lecturer_id, L.fullname
HAVING COUNT(DISTINCT CO1.course_name) >= 1 AND COUNT(DISTINCT CO2.course_name) >= 1;","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW); [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) executing query: SELECT L.lecturer_id, L.fullname
FROM Lecturers L
JOIN ClassCourse C1 ON L.lecturer_id = C1.lecturer_id
JOIN Courses CO1 ON C1.course_id = CO1.course_id
JOIN ClassCourse C2 ON L.lecturer_id = C2.lecturer_id
JOIN Courses CO2 ON C2.course_id = CO2.course_id
WHERE CO1.course_name = 'Machine Learning' AND CO2.course_name = 'Mathematics for Engineering'
GROUP BY L.lecturer_id, L.fullname
HAVING COUNT(DISTINCT CO1.course_name) >= 1 AND COUNT(DISTINCT CO2.course_name) >= 1;",[]
Which courses have more than one lecturer in the same semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_id
FROM ClassCourse c
JOIN (SELECT course_id, semester, COUNT(DISTINCT lecturer_id) AS lecturer_count FROM ClassCourse GROUP BY course_id, semester HAVING COUNT(DISTINCT lecturer_id) > 1) AS lecturer_counts ON c.course_id = lecturer_counts.course_id AND c.semester = lecturer_counts.semester
GROUP BY c.course_id
HAVING COUNT(DISTINCT c.semester) > 0;",,"[
  {
    ""course_id"": ""MAE""
  }
]"
Find the classes offered in the SP25 semester.,"{""role"": ""Training Manager"", ""identity"": []}",SELECT DISTINCT c.class_id FROM ClassCourse AS c WHERE c.semester = 'SP25',,"[
  {
    ""class_id"": ""AI01""
  },
  {
    ""class_id"": ""IA01""
  }
]"
Which lecturers teach courses in the Computer Science major?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT L.fullname
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Courses AS C ON CC.course_id = C.course_id
JOIN Curriculums AS CU ON C.course_id = CU.course_id
JOIN Majors AS M ON CU.major_id = M.major_id
WHERE M.major_name = 'Computer Science';","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW) executing query: SELECT DISTINCT L.fullname
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Courses AS C ON CC.course_id = C.course_id
JOIN Curriculums AS CU ON C.course_id = CU.course_id
JOIN Majors AS M ON CU.major_id = M.major_id
WHERE M.major_name = 'Computer Science';",[]
Find all courses taught by lecturers who are from the Computer Science department.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Departments d ON l.dep_id = d.dep_id
WHERE d.dep_name = 'Computer Science';",,[]
Find lecturers and course names associated with classes having over 40 students.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT L.fullname, C.course_name
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Courses AS C ON CC.course_id = C.course_id
JOIN Enrollments AS E ON CC.class_course_id = E.class_course_id
GROUP BY L.fullname, C.course_name
HAVING COUNT(E.student_id) > 40;","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW); [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) executing query: SELECT L.fullname, C.course_name
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Courses AS C ON CC.course_id = C.course_id
JOIN Enrollments AS E ON CC.class_course_id = E.class_course_id
GROUP BY L.fullname, C.course_name
HAVING COUNT(E.student_id) > 40;",[]
List the required courses for the Information Assurance major.,"{""role"": ""Student"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN Curriculums cu ON c.course_id = cu.course_id
JOIN Majors m ON cu.major_id = m.major_id
WHERE m.major_name = 'Information Assurance';",,[]
Show the list of majors and how many courses each has.,"{""role"": ""Student"", ""identity"": []}","SELECT Majors.major_name, COUNT(DISTINCT Curriculums.course_id) AS NumberOfCourses
FROM Majors
JOIN Curriculums ON Majors.major_id = Curriculums.major_id
GROUP BY Majors.major_name;",,"[
  {
    ""major_name"": ""Artificial Intelligence"",
    ""NumberOfCourses"": 6
  },
  {
    ""major_name"": ""Information Assurance"",
    ""NumberOfCourses"": 6
  },
  {
    ""major_name"": ""Information System"",
    ""NumberOfCourses"": 6
  },
  {
    ""major_name"": ""Software Engineering"",
    ""NumberOfCourses"": 6
  }
]"
Which major has the most number of courses?,"{""role"": ""Student"", ""identity"": []}",SELECT TOP 1 major_name FROM Majors JOIN Curriculums ON Majors.major_id = Curriculums.major_id GROUP BY major_name ORDER BY COUNT(*) DESC,,"[
  {
    ""major_name"": ""Information Assurance""
  }
]"
Which majors require the course Mathematics for Engineering?,"{""role"": ""Student"", ""identity"": []}","SELECT DISTINCT
	m.major_name
FROM
	Majors AS m
JOIN
	Curriculums AS c
ON
	m.major_id = c.major_id
JOIN
	Courses AS co
ON
	c.course_id = co.course_id
WHERE
	co.course_name = 'Mathematics for Engineering';",,"[
  {
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""major_name"": ""Information Assurance""
  },
  {
    ""major_name"": ""Information System""
  },
  {
    ""major_name"": ""Software Engineering""
  }
]"
Which majors do not require Introduction to Computer Science?,"{""role"": ""Student"", ""identity"": []}","SELECT major_name
FROM Majors
WHERE major_id NOT IN (SELECT major_id FROM Curriculums WHERE course_id = (SELECT course_id FROM Courses WHERE course_name = 'Introduction to Computer Science'));",,[]
How many majors require Computer Organization and Architecture?,"{""role"": ""Student"", ""identity"": []}","SELECT COUNT(DISTINCT T1.major_id)
FROM Curriculums AS T1
INNER JOIN Courses AS T2 ON T1.course_id = T2.course_id
WHERE T2.course_name = 'Computer Organization and Architecture';",,"[
  {
    """": 4
  }
]"
Which majors require more than 5 courses?,"{""role"": ""Student"", ""identity"": []}","SELECT major_name
FROM Majors
WHERE major_id IN (SELECT major_id FROM Curriculums GROUP BY major_id HAVING COUNT(*) > 5);",,"[
  {
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""major_name"": ""Information Assurance""
  },
  {
    ""major_name"": ""Information System""
  },
  {
    ""major_name"": ""Software Engineering""
  }
]"
List the names of the required courses for the Software Engineering major.,"{""role"": ""Student"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN Curriculums cu ON c.course_id = cu.course_id
JOIN Majors m ON cu.major_id = m.major_id
WHERE m.major_name = 'Software Engineering';",,"[
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""course_name"": ""Software development project""
  },
  {
    ""course_name"": ""Software Requirement""
  }
]"
Show the major names and the names of their required courses.,"{""role"": ""Student"", ""identity"": []}","SELECT m.major_name, c.course_name
FROM Majors m
JOIN Curriculums cu ON m.major_id = cu.major_id
JOIN Courses c ON cu.course_id = c.course_id;",,"[
  {
    ""major_name"": ""Artificial Intelligence"",
    ""course_name"": ""Machine Learning""
  },
  {
    ""major_name"": ""Artificial Intelligence"",
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""major_name"": ""Artificial Intelligence"",
    ""course_name"": ""Computer Vision""
  },
  {
    ""major_name"": ""Artificial Intelligence"",
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""major_name"": ""Artificial Intelligence"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""major_name"": ""Artificial Intelligence"",
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""major_name"": ""Information Assurance"",
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""major_name"": ""Information Assurance"",
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""major_name"": ""Information Assurance"",
    ""course_name"": ""Risk Management in Information Systems""
  },
  {
    ""major_name"": ""Information Assurance"",
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""major_name"": ""Information Assurance"",
    ""course_name"": ""Policy Development in Information Assurance""
  },
  {
    ""major_name"": ""Information Assurance"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""major_name"": ""Information System"",
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""major_name"": ""Information System"",
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""major_name"": ""Information System"",
    ""course_name"": ""Enterprise Resource Planning (ERP)""
  },
  {
    ""major_name"": ""Information System"",
    ""course_name"": ""Information System Programming Project""
  },
  {
    ""major_name"": ""Information System"",
    ""course_name"": ""Information System Design & Analysis""
  },
  {
    ""major_name"": ""Information System"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""major_name"": ""Software Engineering"",
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""major_name"": ""Software Engineering"",
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""major_name"": ""Software Engineering"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""major_name"": ""Software Engineering"",
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""major_name"": ""Software Engineering"",
    ""course_name"": ""Software development project""
  },
  {
    ""major_name"": ""Software Engineering"",
    ""course_name"": ""Software Requirement""
  }
]"
